college_code,college_name,district,college_type,branch_code,branch_name,oc,bc,bcm,mbc,sc,sca,st,oc_partial,bc_partial,bcm_partial,mbc_partial,sc_partial,sca_partial,st_partial,year
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,BY,BIO MEDICAL ENGINEERING (SS),2185.0,4606.0,3299.0,5537.0,12621.0,22764.0,3890.0,0,0,0,0,0,0,0,2022
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,CE,CIVIL ENGINEERING,3937.0,6219.0,11998.0,9441.0,16167.0,28667.0,,0,0,0,0,0,0,0,2022
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,CM,COMPUTER SCIENCE AND ENGINEERING (SS),139.0,227.0,709.0,663.0,3330.0,8459.0,9198.0,0,0,0,0,0,0,0,2022
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,CS,Computer Science and Engineering,22.0,102.0,318.0,291.0,1013.0,1121.0,,0,0,0,0,0,0,0,2022
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,180.0,326.0,829.0,773.0,3692.0,14390.0,,0,0,0,0,0,0,0,2022
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,EE,Electrical and Electronics Engineering,1012.0,1561.0,3348.0,2407.0,8578.0,18228.0,,0,0,0,0,0,0,0,2022
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),476.0,585.0,2299.0,1623.0,6489.0,,10795.0,0,0,0,0,0,0,0,2022
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,GI,GEO INFORMATICS,4669.0,8176.0,9880.0,8842.0,23803.0,19509.0,,0,0,0,0,0,0,0,2022
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,IE,INDUSTRIAL ENGINEERING,6317.0,10419.0,17154.0,14049.0,27211.0,15018.0,47733.0,0,0,0,0,0,0,0,2022
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,IM,INFORMATION TECHNOLOGY (SS),359.0,559.0,1182.0,1706.0,5635.0,11014.0,14024.0,0,0,0,0,0,0,0,2022
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,MA,MATERIAL SCIENCE AND ENGINEERING (SS),6271.0,10588.0,14321.0,11249.0,29963.0,33578.0,,0,0,0,0,0,0,0,2022
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,ME,Mechanical Engineering,2408.0,4554.0,6047.0,7655.0,14245.0,14787.0,49450.0,0,0,0,0,0,0,0,2022
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,MI,MINING ENGINEERING,8348.0,17005.0,17571.0,20797.0,28214.0,50747.0,95204.0,0,0,0,0,0,0,0,2022
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,MN,MANUFACTURING ENGINEERING,8904.0,13185.0,12435.0,17390.0,24509.0,56585.0,,0,0,0,0,0,0,0,2022
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,PT,Printing and Packing Technology,12098.0,22201.0,12331.0,22874.0,32302.0,81318.0,,0,0,0,0,0,0,0,2022
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,XC,CIVIL ENGINEERING (TAMIL MEDIUM),19134.0,30510.0,83967.0,39557.0,33512.0,133182.0,,0,0,0,0,0,0,0,2022
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),13412.0,26746.0,18547.0,33503.0,35007.0,82575.0,,0,0,0,0,0,0,0,2022
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,AP,APPAREL TECHNOLOGY (SS),35337.0,65046.0,64864.0,53432.0,54827.0,43476.0,,0,0,0,0,0,0,0,2022
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,CH,CHEMICAL ENGINEERING,3451.0,7014.0,21408.0,12336.0,19612.0,20187.0,48677.0,0,0,0,0,0,0,0,2022
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,CL,CHEMICAL ENGINEERING (SS),7626.0,9079.0,21617.0,14131.0,32692.0,63561.0,,0,0,0,0,0,0,0,2022
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,CR,CERAMIC TECHNOLOGY (SS),30197.0,46508.0,43472.0,54084.0,60278.0,145950.0,,0,0,0,0,0,0,0,2022
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,FS,FOOD TECHNOLOGY (SS),7064.0,11439.0,8622.0,13417.0,34433.0,36834.0,42587.0,0,0,0,0,0,0,0,2022
