college_code,college_name,district,college_type,branch_code,branch_name,oc,bc,bcm,mbc,sc,sca,st,oc_partial,bc_partial,bcm_partial,mbc_partial,sc_partial,sca_partial,st_partial,year
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,BY,BIO MEDICAL ENGINEERING (SS),1248.0,1998.0,2390.0,1420.0,8937.0,22463.0,26147.0,0,0,0,0,0,0,0,2021
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,CE,Civil Engineering,2326.0,3227.0,6363.0,2527.0,7316.0,23541.0,43295.0,0,0,0,0,0,0,0,2021
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,CM,COMPUTER SCIENCE AND ENGINEERING (SS),175.0,260.0,631.0,312.0,2940.0,3853.0,5838.0,0,0,0,0,0,0,0,2021
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,CS,Computer Science and Engineering,29.0,111.0,388.0,67.0,551.0,2101.0,3779.0,0,0,0,0,0,0,0,2021
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,218.0,332.0,789.0,368.0,1680.0,4067.0,3514.0,0,0,0,0,0,0,0,2021
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,EE,Electrical and Electronics Engineering,809.0,1297.0,2153.0,1046.0,5615.0,6509.0,5534.0,0,0,0,0,0,0,0,2021
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),540.0,722.0,853.0,724.0,3760.0,8916.0,11789.0,0,0,0,0,0,0,0,2021
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,GI,GEO INFORMATICS,2648.0,3961.0,4374.0,2693.0,10811.0,22902.0,,0,0,0,0,0,0,0,2021
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,IE,INDUSTRIAL ENGINEERING,3983.0,5004.0,6580.0,4896.0,12535.0,29151.0,,0,0,0,0,0,0,0,2021
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,IM,INFORMATION TECHNOLOGY (SS),470.0,720.0,1661.0,856.0,4894.0,8754.0,3569.0,0,0,0,0,0,0,0,2021
