year,college_code,college_name,district,college_type,branch_code,branch_name,cutoff_oc,cutoff_bc,cutoff_bcm,cutoff_mbc,cutoff_sc,cutoff_sca,cutoff_st,cutoff_oc_partial,cutoff_bc_partial,cutoff_bcm_partial,cutoff_mbc_partial,cutoff_sc_partial,cutoff_sca_partial,cutoff_st_partial,rank_oc,rank_bc,rank_bcm,rank_mbc,rank_sc,rank_sca,rank_st,rank_oc_partial,rank_bc_partial,rank_bcm_partial,rank_mbc_partial,rank_sc_partial,rank_sca_partial,rank_st_partial
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,BY,BIO MEDICAL ENGINEERING (SS),195.0,194.0,193.5,194.775,189.0,182.5,181.0,0,0,0,0,0,0,0,1248.0,1998.0,2390.0,1420.0,8937.0,22463.0,26147.0,0,0,0,0,0,0,0
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,CE,Civil Engineering,193.5,192.685,190.5,193.33,190.0,182.0,174.635,0,0,0,0,0,0,0,2326.0,3227.0,6363.0,2527.0,7316.0,23541.0,43295.0,0,0,0,0,0,0,0
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,CM,COMPUTER SCIENCE AND ENGINEERING (SS),198.0,197.666666666666,196.375,197.5,193.0,192.06,190.815,0,0,0,0,0,0,0,175.0,260.0,631.0,312.0,2940.0,3853.0,5838.0,0,0,0,0,0,0,0
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,CS,Computer Science and Engineering,199.0,198.12,197.02,198.625,196.5,193.935,192.165,0,0,0,0,0,0,0,29.0,111.0,388.0,67.0,551.0,2101.0,3779.0,0,0,0,0,0,0,0
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,197.99,197.333333333333,196.0,197.13,194.35,192.0,192.5,0,0,0,0,0,0,0,218.0,332.0,789.0,368.0,1680.0,4067.0,3514.0,0,0,0,0,0,0,0
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,EE,Electrical and Electronics Engineering,195.995,195.0,193.825,195.459999999999,191.0,190.385,191.0,0,0,0,0,0,0,0,809.0,1297.0,2153.0,1046.0,5615.0,6509.0,5534.0,0,0,0,0,0,0,0
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),196.575,196.0,195.855,196.0,192.184999999999,189.01,187.5,0,0,0,0,0,0,0,540.0,722.0,853.0,724.0,3760.0,8916.0,11789.0,0,0,0,0,0,0,0
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,GI,GEO INFORMATICS,193.15,192.0,191.965,193.079999999999,188.0,182.295,,0,0,0,0,0,0,0,2648.0,3961.0,4374.0,2693.0,10811.0,22902.0,,0,0,0,0,0,0,0
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,IE,INDUSTRIAL ENGINEERING,192.0,191.42,190.3,191.5,187.065,179.815,,0,0,0,0,0,0,0,3983.0,5004.0,6580.0,4896.0,12535.0,29151.0,,0,0,0,0,0,0,0
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,IM,INFORMATION TECHNOLOGY (SS),197.0,196.0,194.4,195.825,191.5,189.145,192.44,0,0,0,0,0,0,0,470.0,720.0,1661.0,856.0,4894.0,8754.0,3569.0,0,0,0,0,0,0,0
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,MA,MATERIAL SCIENCE AND ENGINEERING (SS),192.0,190.755,188.065,190.86,184.92,171.625,,0,0,0,0,0,0,0,4125.0,5897.0,10642.0,5806.0,16965.0,52089.0,,0,0,0,0,0,0,0
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,ME,Mechanical Engineering,194.615,193.5,193.0,193.54,188.255,186.529999999999,181.065,0,0,0,0,0,0,0,1493.0,2398.0,2896.0,2293.0,10380.0,13573.0,25853.0,0,0,0,0,0,0,0
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,MI,MINING ENGINEERING,190.515,188.44,188.795,187.47,183.655,174.12,,0,0,0,0,0,0,0,6153.0,10139.0,9460.0,11969.0,19668.0,44774.0,,0,0,0,0,0,0,0
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,MN,MANUFACTURING ENGINEERING,191.355,190.0,186.82,191.0,185.65,184.78,172.9,0,0,0,0,0,0,0,5064.0,7088.0,13132.0,5666.0,15353.0,17201.0,48416.0,0,0,0,0,0,0,0
