college_code,college_name,district,college_type,branch_code,branch_name,oc,bc,bcm,mbc,sc,sca,st,oc_partial,bc_partial,bcm_partial,mbc_partial,sc_partial,sca_partial,st_partial
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,BY,BIO MEDICAL ENGINEERING  (SS),2794,5407,3745,8728,13686,42751,,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,CE,CIVIL  ENGINEERING,4381,7534,4847,10276,15211,27632,21614,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,CM,COMPUTER SCIENCE AND ENGINEERING (SS),170,313,536,489,2255,21395,4881,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,CS,COMPUTER SCIENCE AND ENGINEERING,32,80,134,138,668,12008,,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,93,214,988,765,2859,11536,18015,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,872,1271,2732,2275,8582,23009,30910,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),432,583,1310,1377,5569,7212,24413,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,GI,GEO INFORMATICS,5965,8966,8771,9983,19048,50451,57993,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,IE,INDUSTRIAL ENGINEERING,8513,13048,12042,19299,33284,73337,,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,IM,INFORMATION TECHNOLOGY (SS),505,678,1017,1011,5387,24024,15638,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,MA,MATERIAL SCIENCE AND ENGINEERING (SS),9851,16212,13680,23328,30547,27969,,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,ME,MECHANICAL ENGINEERING,2279,3885,6054,5386,15385,35544,,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,MI,MINING ENGINEERING,10258,16834,26855,25388,31995,44098,,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,MN,MANUFACTURING ENGINEERING,11859,19987,16413,18831,40702,99127,101973,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,PT,PRINTING AND PACKING TECHNOLOGY,16436,31958,27787,30484,45771,110885,,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,XC,CIVIL ENGINEERING (TAMIL MEDIUM),17936,26694,47395,39836,38859,54069,,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),18326,24333,24693,35639,38724,,102865,0,0,0,0,0,0,0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,AP,APPAREL TECHNOLOGY (SS),38543,56911,49829,65843,87357,139577,116255,0,0,0,0,0,0,0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,CH,CHEMICAL  ENGINEERING,4625,7698,10471,13117,22567,30709,,0,0,0,0,0,0,0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,CL,CHEMICAL  ENGINEERING (SS),8098,12175,11946,15423,42115,67708,89266,0,0,0,0,0,0,0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,CR,CERAMIC TECHNOLOGY (SS),32253,54850,64886,58589,76665,91536,,0,0,0,0,0,0,0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,FS,FOOD TECHNOLOGY (SS),8559,21464,20563,25385,36419,23408,,0,0,0,0,0,0,0
